Campaign,Ad group,Keyword,Criterion Type,Status
VV | Search | Brand,Brand,viral view,Exact,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai ugc ads creator for e commerce,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai ugc tiktok shop,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai tiktok shop ads,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai ugc tiktok ads,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai ugc facebook ads,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai video ads for ecommerce,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ugc ads for dropshipping,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai ad generator for shopify,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,ai product video ads generator,Phrase,Enabled
VV | Search | AI UGC Ads,Ecommerce and TikTok Shop,product video ads ai,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,clone winning ads,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,copy winning ads,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,create winning ads ai,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,winning ads ai,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,clone competitor ads,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,copy competitor ads,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,remake competitor ads,Phrase,Enabled
VV | Search | Clone Winning Ads,Clone Winning Ads,ad clone,Exact,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,hire ugc creators,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,ugc creators for hire,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,hire ugc creators cheap,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,cheap ugc creators,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,cheap ugc ads,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,cheap ugc videos,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,how much do ugc ads cost,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,ugc ads cost,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,platforms to hire ugc creators,Phrase,Enabled
VV | Search | Replace UGC Creators,Hire UGC Creators,best place to hire ugc creators,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,billo alternatives,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,billo alternative,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,billo pricing,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,billo vs insense,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,insense alternatives,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,insense ugc pricing,Phrase,Enabled
VV | Search | Replace UGC Creators,Creator Platforms,insense ugc reviews,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,ugc ads claude skill,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,ugc ads skill,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,arcads claude code skill,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,arcads claude skill,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,arcads mcp,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,creatify claude mcp,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,creatify mcp,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,ai ugc video api,Phrase,Enabled
VV | Search | AI Agent,Claude and MCP,ai ugc video generator api,Phrase,Enabled
